;;Cod.;Descrizione;Libero 4;Q.tà in giacenza;Fornitore;Ubicazione;Note
;No;260133;Aretha Slim Avio Grammi 150 gr;P.ta T1466301;60;Cofil S.R.L.;BK-11;Filato in rocca con pelo lungo effetto pelliccia supermorbido. Composizione 100% Poliammide. Peso Grammi 150 lunghezza Metri 495 ca. Consigliati: ferri 6-8-Uncinetto 3-5. Adatto per inserti e applicazioni.
;No;w7ddcsan;Aretha Slim Bianco Grammi 150 gr;P.ta T1454601;0;Cofil S.R.L.;;Filato in rocca con pelo lungo effetto pelliccia supermorbido. Composizione 100% Poliammide. Peso Grammi 150 lunghezza Metri 495 ca. Consigliati: ferri 6-8-Uncinetto 3-5. Adatto per inserti e applicazioni.
;No;wlmosyxs;Aretha Slim Cipria Grammi 150 gr;P.ta T1456501;150;Cofil S.R.L.;BK-10;Filato in rocca con pelo lungo effetto pelliccia supermorbido. Composizione 100% Poliammide. Peso Grammi 150 lunghezza Metri 495 ca. Consigliati: ferri 6-8-Uncinetto 3-5. Adatto per inserti e applicazioni.
;No;260134;Aretha Slim Militare Grammi 150 gr;P.ta T1464402;30;Cofil S.R.L.;BK-12;Filato in rocca con pelo lungo effetto pelliccia supermorbido. Composizione 100% Poliammide. Peso Grammi 150 lunghezza Metri 495 ca. Consigliati: ferri 6-8-Uncinetto 3-5. Adatto per inserti e applicazioni.
;No;260135;Aretha Slim Mogano Grammi 150 gr;P.ta T1464401;60;Cofil S.R.L.;BK-13;Filato in rocca con pelo lungo effetto pelliccia supermorbido. Composizione 100% Poliammide. Peso Grammi 150 lunghezza Metri 495 ca. Consigliati: ferri 6-8-Uncinetto 3-5. Adatto per inserti e applicazioni.
;No;um1fnlnc;Aretha Slim Nero Grammi 150 gr;P.ta T1504102;297;Cofil S.R.L.;;Filato in rocca con pelo lungo effetto pelliccia supermorbido. Composizione 100% Poliammide. Peso Grammi 150 lunghezza Metri 495 ca. Consigliati: ferri 6-8-Uncinetto 3-5. Adatto per inserti e applicazioni.
;No;onitrpsv;Cordino Lanato Freddy Beige Gr 200;P.ta 485378;150;Acrilico;BG-1;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;7828;Cordino Lanato Freddy Blu Gr 200;P.ta 8252;180;Acrilico;BG-2;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;8083;Cordino Lanato Freddy Bordeaux Gr 200;P.ta 490468;150;Acrilico;BG-3;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;7829;Cordino Lanato Freddy Cenere Gr 200;P.ta 2407;150;Acrilico;BG-4;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;8091;Cordino Lanato Freddy Cipria Gr 200;P.ta 477244;180;Acrilico;BG-5;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9643;Cordino Lanato Freddy Fuxia Gr 200;P.ta 471999;150;Acrilico;BG-6;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9644;Cordino Lanato Freddy Giada Gr 200;P.ta 480307;150;Acrilico;BG-7;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;4pe61r1z;Cordino Lanato Freddy Grigio Gr 200;P.ta 1793;180;Acrilico;BG-8;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;8086;Cordino Lanato Freddy Jeans Gr 200;P.ta 477255;180;Acrilico;BG-9;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;vrfyzhh3;Cordino Lanato Freddy Nero Gr 200;P.ta 487099;227;Acrilico;BG-10;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;7832;Cordino Lanato Freddy Nero Petrolio Gr 200;P.ta 8942;120;Acrilico;BG-12;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;kq3wxwx0;Cordino Lanato Freddy Panna Gr 200;P.ta 74732;30;Acrilico;BG-13;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;7901;Cordino Lanato Freddy Perla Gr 200;P.ta 66683;0;Acrilico;;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;49134;Cordino Lanato Freddy Perla Melange Gr 200;P.ta 2025;30;Acrilico;BG-14;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;7833;Cordino Lanato Freddy Petrolio Gr 200;P.ta 9312;176;Acrilico;BG-15;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;7834;Cordino Lanato Freddy Petrolio Melange Gr 200;P.ta 2510;90;Acrilico;BG-16;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;8081;Cordino Lanato Freddy Prato Gr 200;P.ta 29742;180;Acrilico;BH-14;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;40908;Cordino Lanato Freddy Prugna Gr 200;P.ta 7070;150;Acrilico;BH-13;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;zftelh38;Cordino Lanato Freddy Rosso Gr 200;P.ta 74821;149;Acrilico;BH-12;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9645;Cordino Lanato Freddy Senape Gr 200;P.ta 481581;120;Acrilico;BH-11;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;7835;Cordino Lanato Freddy Stracciatella Gr 200;P.ta 2509;120;Acrilico;BH-10;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;8090;Cordino Lanato Freddy Tiffany Gr 200;P.ta 477236;150;Acrilico;BH-9;Cordino Lanato per la realizzazione di borse accessori e macramè Consegnato in rocca da gr 200 per una lunghezza di 110 metri ca. Aspetto lanato con struttura circolare di diametro di mm3 ca è consigliato utilizzo ferri 9-10 e uncinetto 7-8. Il cordino lanato Freddy è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;7008;Cordino Ternes Azzurro Gr 200;P.ta 3084;150;Giletti S.P.A.;AD-1;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;yhp0b7cx;Cordino Ternes Bianco Gr 200;P.ta 4081;150;Giletti S.P.A.;AD-2;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;4jtnnkz1;Cordino Ternes Blu Gr 200;P.ta 4063;120;Giletti S.P.A.;AD-3;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;mkq4114k;Cordino Ternes Bordeaux Gr 200;P.ta 1303;150;Giletti S.P.A.;AD-4;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;7258;Cordino Ternes Corallo Gr 200;P.ta 3116;150;Giletti S.P.A.;AD-5;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12923;Cordino Ternes Deserto Gr 200;P.ta 3240;120;Giletti S.P.A.;AD-6;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;s1mk3iie;Cordino Ternes Fuxia Gr 200;P.ta 9043/1;150;Giletti S.P.A.;AD-7;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;6tw9xqj7;Cordino Ternes Jeans Gr 200;P.ta 3308;120;Giletti S.P.A.;AD-8;Cordino in misto Cotone con aspetto circolare ad effetto opaco e consegnato in rocca da gr 200 lunghezza mt 120 ca e un diametro di mm 3 Consigliati ferri 8-9 uncinetto 7-8  Adatto per la realizzazione di borse ed affini e per il macramè.  Il cordino Ternes è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
